Date,Open,High,Low,Close,Adj Close,Volume,Day
2014-03-03,132.5,133.5,131,131.050003,108.412437,1007721,0
2014-03-04,132.699997,133.800003,131.649994,133.149994,110.149681,836498,1
2014-03-05,132.5,132.850006,131.800003,132.25,109.405121,797926,2
2014-03-06,132.100006,132.199997,130.800003,131.649994,108.908775,768115,3
2014-03-07,131.800003,132.5,130.600006,131.649994,108.908775,906213,4
2014-03-10,131.399994,132.600006,130.350006,131.350006,108.660591,573107,5
2014-03-11,131.600006,131.800003,130.699997,130.899994,108.28833,466080,6
2014-03-12,130.050003,130.399994,128,129,106.716537,1059005,7
2014-03-13,130,130.399994,128.25,128.25,106.096085,808865,8
2014-03-14,127.25,127.449997,125,126.75,104.855202,1268099,9
2014-03-17,127,128.300003,126.150002,128,105.889275,670792,10
2014-03-18,127.5,129.949997,126.849998,129.100006,106.799255,816081,11
2014-03-19,129.050003,129.149994,127.449997,128.300003,106.137466,784848,12
2014-03-20,127.550003,129.300003,126.199997,129.300003,106.964729,1180230,13
2014-03-21,129.25,129.949997,127.849998,128.949997,106.675179,1133645,14
2014-03-24,129,129.550003,127.800003,128.449997,106.261543,565189,15
2014-03-25,129.050003,131.5,128.899994,131.300003,108.619225,950918,16
2014-03-26,132,133.199997,131.600006,132.550003,109.653336,817799,17
2014-03-27,132.149994,133.350006,131.149994,132.899994,109.942848,599289,18
2014-03-28,133.399994,134,132.699997,133.75,110.646027,532743,19
2014-03-31,134.149994,134.649994,131.899994,131.949997,109.156952,705449,20
2014-04-01,134.100006,134.75,133.5,134.300003,111.101013,869017,21
2014-04-02,135,135.050003,133.899994,134.199997,111.018303,597645,22
2014-04-03,133.75,134.75,132.899994,133.550003,110.480583,748170,23
2014-04-04,133.449997,133.850006,131.949997,133.649994,110.563293,682154,24
2014-04-07,132.850006,134.399994,131.850006,133.449997,110.397842,808939,25
2014-04-08,133.850006,135.25,132.800003,135.050003,111.721451,874703,26
2014-04-09,135.25,136.850006,135.25,136.449997,112.879623,858409,27
2014-04-10,138.899994,142.449997,138.800003,140.850006,116.519562,3080932,28
2014-04-11,140.100006,141.899994,139.199997,141.199997,116.809105,1349312,29
2014-04-14,139.300003,142.449997,139.300003,142.149994,119.198952,1091979,30
2014-04-15,141.699997,143.300003,141.399994,142,119.073196,1139499,31
2014-04-16,143.050003,143.550003,142.050003,142.949997,119.869789,905305,32
2014-04-17,142.350006,142.850006,140.649994,142.699997,119.660149,733457,33
2014-04-22,142.699997,143.550003,142.5,143.100006,119.995605,703888,34
2014-04-23,142.699997,143.550003,142.100006,142.300003,119.32476,783380,35
2014-04-24,142.399994,143.300003,141.649994,142.649994,119.618225,802627,36
2014-04-25,142,142.899994,141.699997,141.949997,119.031242,653855,37
2014-04-28,142,142.550003,141.350006,141.649994,118.779686,608633,38
2014-04-29,141.800003,142.550003,139.600006,140.300003,117.647659,1277314,39
2014-04-30,139.949997,142.100006,139.899994,141.75,118.863518,669014,40
2014-05-01,141.75,141.75,141.75,141.75,118.863518,0,41
2014-05-02,141.899994,142.149994,140.449997,140.800003,118.066917,635704,42
2014-05-05,140.800003,140.850006,138.899994,140.649994,117.941139,458565,43
2014-05-06,140.550003,141.5,139.649994,140,117.396111,489814,44
2014-05-07,139.899994,141.449997,139.699997,140.100006,117.47995,704756,45
2014-05-08,140.800003,142.800003,140.100006,142.699997,119.660149,884829,46
2014-05-09,141.899994,142.5,141.199997,141.850006,118.947411,472593,47
2014-05-12,141.949997,143.449997,141.75,143.25,120.121361,497820,48
2014-05-13,143.25,143.75,142.449997,142.949997,119.869789,789052,49
2014-05-14,142.850006,142.949997,141.699997,142.399994,119.408607,800289,50
2014-05-15,142.25,144.649994,141.899994,143.550003,120.372902,1157770,51
2014-05-16,143.850006,144.149994,142.550003,143.75,120.540634,812583,52
2014-05-19,143.75,143.949997,141.600006,142.350006,119.366684,797627,53
2014-05-20,142.699997,143,141.25,142.75,119.702087,528324,54
2014-05-21,142.600006,143.949997,141.699997,143.949997,120.708344,807472,55
2014-05-22,144,144.199997,143.149994,143.550003,120.372902,543032,56
2014-05-23,143.800003,143.949997,142.199997,143.149994,120.037498,527907,57
2014-05-26,143.699997,144.300003,142.649994,144.25,120.959877,370505,58
2014-05-27,143.949997,145,142.399994,144.649994,121.295326,576118,59
2014-05-28,144.649994,144.850006,143.050003,144.199997,120.917984,760567,60
2014-05-29,144.149994,144.600006,143.100006,144.5,121.169525,426410,61
2014-05-30,144.550003,146.300003,143.899994,145.949997,122.385399,2107916,62
2014-06-02,146.100006,146.350006,144,144.699997,121.337219,581455,63
2014-06-03,144.899994,145.550003,144.550003,145.050003,121.630722,502271,64
2014-06-04,145.050003,145.800003,144.199997,145.25,121.798439,527154,65
2014-06-05,145,146,143.850006,145.75,122.21772,898515,66
2014-06-06,145.399994,145.399994,142.699997,143.25,120.121361,969312,67
2014-06-09,143.899994,143.949997,142.850006,143.449997,120.289078,357194,68
2014-06-10,143.899994,144.600006,142.899994,144.600006,121.253403,548792,69
2014-06-11,144.800003,145.75,144,144.899994,121.50499,696390,70
2014-06-12,144.600006,144.949997,144.050003,144.75,121.379173,448419,71
2014-06-13,144.600006,145,143.399994,144.399994,121.08567,482782,72
2014-06-16,144.199997,144.800003,143.399994,144.350006,121.043762,500173,73
2014-06-17,144.550003,145.600006,144.5,145.399994,121.924217,659838,74
2014-06-18,145.300003,145.949997,144.850006,144.850006,121.463036,463891,75
2014-06-19,144,146.300003,143.800003,145.699997,122.175797,846158,76
2014-06-20,145.699997,147.199997,145.399994,145.699997,122.175797,933178,77
2014-06-23,146.449997,146.449997,144.399994,145.5,122.008087,443618,78
2014-06-24,145.5,146.300003,145.149994,145.850006,122.301575,474507,79
2014-06-25,145.449997,146.5,143.699997,143.699997,120.498695,771669,80
2014-06-26,144.100006,144.100006,140.050003,141.25,118.444267,1067168,81
2014-06-27,141.5,141.899994,139.550003,140.350006,117.689613,711407,82
2014-06-30,140.949997,142.350006,140.5,140.800003,118.066917,648871,83
2014-07-01,140.5,141.25,140.050003,141,118.234627,445701,84
2014-07-02,141.300003,141.399994,139.449997,139.949997,117.354156,582004,85
2014-07-03,140,141.850006,139.199997,141.850006,118.947411,719810,86
2014-07-04,142,142,140.649994,140.850006,118.108849,421224,87
2014-07-07,140.850006,141.5,139.399994,139.649994,117.102615,416284,88
2014-07-08,139.949997,140.350006,138.449997,138.449997,116.096344,444400,89
2014-07-09,138.899994,139.75,137.899994,139.5,116.976822,565701,90
2014-07-10,139.699997,141.300003,138.699997,139.350006,116.851051,792522,91
2014-07-11,139.649994,140,138.399994,139.350006,116.851051,428508,92
2014-07-14,139.399994,140.600006,139,140.350006,117.689613,421097,93
2014-07-15,140.25,140.5,138.350006,138.699997,116.305977,694928,94
2014-07-16,139.449997,140.149994,138.800003,140,117.396111,497857,95
2014-07-17,139.449997,140.149994,138.350006,138.550003,116.180183,570190,96
2014-07-18,138.050003,138.399994,136.449997,138.399994,116.054413,1019779,97
2014-07-21,138.25,139.050003,137.350006,138.449997,116.096344,575549,98
2014-07-22,139.149994,139.399994,137.850006,139.25,116.767166,620547,99
2014-07-23,138.649994,140,138.649994,139.800003,117.228378,579867,100
2014-07-24,140.5,141.949997,139.100006,141.25,118.444267,632668,101
2014-07-25,135,135,131.100006,131.649994,110.394249,2810499,102
2014-07-28,132.75,132.850006,131,131.550003,110.31041,911123,103
2014-07-29,131.399994,132.699997,131.149994,131.699997,110.43618,740754,104
2014-07-30,131.899994,132,129.75,130.25,109.220284,870287,105
2014-07-31,130.199997,130.449997,128.25,128.600006,107.836723,1253627,106
2014-08-01,129.100006,129.550003,127.349998,128.25,107.543198,972276,107
2014-08-04,129,129.100006,127,127.449997,106.872375,732755,108
2014-08-05,128,129.899994,127.5,129.75,108.801018,956175,109
2014-08-06,129.199997,129.899994,128.050003,129.449997,108.549469,667747,110
2014-08-07,129.649994,129.649994,126.699997,126.949997,106.453094,903923,111
2014-08-08,126.300003,126.800003,124.699997,126.650002,106.201553,1027044,112
